year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost,baseline_prices,baseline_orders,baseline_rewards,rl_prices,rl_orders,rl_actions,rl_rewards,group,type,price_range
2017,9,5,9,29.61000639295024,935.2158333333334,1625.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,0.47593279183547565,103.11234951427791,916.5115166666669,0.7504284768388061,7,148.5464587949453,electronics,cellphones,C
2017,9,6,10,29.966606392950233,935.2158333333334,1625.0,0,0,0,0,0,0,0,0,748.1726666666668,935.2158333333334,0.11254534920090009,24.423440689002653,916.5115166666669,0.3870410342042305,7,76.75234893066943,electronics,cellphones,C
2017,9,0,11,29.528306392950235,934.5775354609931,1629.0,0,0,0,0,0,0,0,0,747.6620283687945,934.5775354609931,1.4158287150721662,306.4473663319978,822.428231205674,3.0616787422518428,2,319.3162818425582,electronics,cellphones,C
2017,9,1,12,29.966606392950233,934.5775354609931,1628.0,0,0,0,0,0,0,0,0,747.6620283687945,934.5775354609931,1.0307791005766376,223.55754986938192,841.1197819148938,2.4023207898931105,3,296.504905860829,electronics,cellphones,C
2017,9,2,13,29.681667016502644,942.5562588652484,1617.0,0,0,0,0,0,0,0,0,754.0450070921988,942.5562588652484,1.0076937205481045,219.87163413229428,848.3006329787237,2.3909446061175004,3,296.3272019632983,electronics,cellphones,C
2017,9,3,14,29.813245963871058,942.5562588652484,1617.0,0,0,0,0,0,0,0,0,754.0450070921988,942.5562588652484,0.7024567179960286,153.36351013840866,848.3006329787237,2.0857076035654245,3,258.771389384155,electronics,cellphones,C
2017,9,4,15,29.71885639295024,939.9876388888894,1616.0,0,0,0,0,0,0,0,0,751.9901111111116,939.9876388888894,0.39693954810627474,86.42024314806089,921.1878861111118,0.6728358082364139,7,133.83823245494062,electronics,cellphones,C
2017,9,5,16,29.904213855608603,939.9876388888894,1616.0,0,0,0,0,0,0,0,0,751.9901111111116,939.9876388888894,0.07780498221745802,16.953841132938763,921.1878861111118,0.35370124234759714,7,70.42262081210629,electronics,cellphones,C
2017,9,6,17,30.64455639295024,939.9876388888894,1616.0,0,0,0,0,0,0,0,0,751.9901111111116,939.9876388888894,0.0,0.0,921.1878861111118,0.0,7,0.0,electronics,cellphones,C
2017,9,0,18,29.71885639295024,938.9835069444447,1611.0,0,0,0,0,0,0,0,0,751.1868055555558,938.9835069444447,1.0312679966868927,224.31683352190927,788.7461458333336,3.2360802914222404,0,217.71764628857224,electronics,cellphones,C
2017,9,1,19,29.71885639295024,938.9835069444447,1598.0,0,0,0,0,0,0,0,0,751.1868055555558,938.9835069444447,0.7528959240862605,163.76657687929614,845.0851562500003,2.130903608295739,3,263.416352629971,electronics,cellphones,C
2017,9,2,20,29.71885639295024,928.4904761904763,1590.0,0,0,0,0,0,0,0,0,742.7923809523811,928.4904761904763,0.23981804642926363,51.66087250790449,909.9206666666669,0.5123397683641997,7,100.85261919037599,electronics,cellphones,C
2017,9,3,21,29.71885639295024,928.4904761904763,1590.0,0,0,0,0,0,0,0,0,742.7923809523811,928.4904761904763,0.0,0.0,909.9206666666669,0.24110568956302814,7,47.46096593627652,electronics,cellphones,C
2017,9,4,22,29.71360639295024,920.3272108843539,1604.0,0,0,0,0,0,0,0,0,736.384217687075,920.3272108843539,0.0,0.0,902.0706666666669,0.0,7,0.0,electronics,cellphones,C
2017,9,5,23,28.908829681597627,917.3271794871796,1653.0,0,0,0,0,0,0,0,0,733.8617435897437,917.3271794871796,0.0,0.0,898.9806358974361,0.0,7,0.0,electronics,cellphones,C
2017,9,6,24,29.5207815693487,919.7531481481484,1673.0,0,0,0,0,0,0,0,0,735.8025185185188,919.7531481481484,0.0,0.0,901.3580851851856,0.0,7,0.0,electronics,cellphones,C
2017,9,0,25,29.91038310523631,913.9105000000003,1674.0,0,0,0,0,0,0,0,0,731.1284000000003,913.9105000000003,0.023837917990022106,5.070145969356785,895.6322900000005,0.29208026354081085,7,56.78457212467264,electronics,cellphones,C
2017,9,1,26,29.913408350284158,922.6847692307692,1676.0,0,0,0,0,0,0,0,0,738.1478153846155,922.6847692307692,0.0,0.0,904.231073846154,0.22229450039003495,7,43.56898112704627,electronics,cellphones,C
2017,9,2,27,29.913408350284158,922.7196969696972,1666.0,0,0,0,0,0,0,0,0,738.1757575757579,922.7196969696972,0.0,0.0,904.2653030303035,0.0,7,0.0,electronics,cellphones,C
2017,9,3,28,30.499530196768323,927.2334782608698,1665.0,0,0,0,0,0,0,0,0,741.7867826086958,927.2334782608698,0.0,0.0,908.6888086956525,0.0,7,0.0,electronics,cellphones,C
2017,9,4,29,30.499530196768323,928.7915714285716,1645.0,0,0,0,0,0,0,0,0,743.0332571428573,928.7915714285716,0.0,0.0,910.2157400000003,0.0,7,0.0,electronics,cellphones,C
2017,9,5,30,29.71015583250903,930.1294063926944,1639.0,0,0,0,0,0,0,0,0,744.1035251141556,930.1294063926944,0.0,0.0,911.5268182648406,0.0,7,0.0,electronics,cellphones,C
2017,10,6,1,30.328299771902966,928.748931623932,1659.0,0,0,0,0,0,0,0,0,742.9991452991457,928.748931623932,0.7092396621683292,153.25114878519506,910.1739529914535,0.9818372434915545,7,193.91590661367695,electronics,cellphones,C
2017,10,0,2,32.901703835688984,932.8107692307697,1708.0,0,0,0,0,0,0,0,0,746.2486153846157,932.8107692307697,1.365301550555614,299.6343451839367,951.466984615385,1.0915117771664882,9,259.9108641317838,electronics,cellphones,C
2017,10,1,3,33.12326633568897,932.8107692307697,1703.0,0,0,0,0,0,0,0,0,746.2486153846157,932.8107692307697,1.034065416292833,227.16909547380337,951.466984615385,0.7602756429037072,9,181.20534021101008,electronics,cellphones,C
2017,10,2,4,32.95978012670586,930.447372134039,1702.0,0,0,0,0,0,0,0,0,744.3578977072312,930.447372134039,0.7510484275294402,164.51659818391246,837.4026349206351,2.1165288849292665,3,266.69220058191286,electronics,cellphones,C
2017,10,3,5,32.95978012670586,930.447372134039,1707.0,0,0,0,0,0,0,0,0,744.3578977072312,930.447372134039,0.48255973095865556,105.70434934403758,837.4026349206351,1.8480401883584818,3,232.86141195923594,electronics,cellphones,C
2017,10,4,6,32.95978012670586,930.447372134039,1707.0,0,0,0,0,0,0,0,0,744.3578977072312,930.447372134039,0.211325652157484,46.290726573131984,837.4026349206351,1.5768061095573103,3,198.68469277370505,electronics,cellphones,C
2017,10,5,7,33.55756194488768,930.447372134039,1711.0,0,0,0,0,0,0,0,0,744.3578977072312,930.447372134039,0.0,0.0,837.4026349206351,1.1532882317064832,3,146.00894172624123,electronics,cellphones,C
2017,10,6,8,32.83981944756856,928.6004529616728,1726.0,0,0,0,0,0,0,0,0,742.8803623693383,928.6004529616728,0.0,0.0,835.7404076655056,1.0312657510594363,3,129.62996542301826,electronics,cellphones,C
2017,10,0,9,32.83981944756856,929.5069570267135,1731.0,0,0,0,0,0,0,0,0,743.6055656213708,929.5069570267135,0.8940196977423511,195.55895121051557,836.5562613240422,2.258120046508793,3,284.0500839214248,electronics,cellphones,C
2017,10,1,10,32.83981944756856,928.9795180023233,1976.0,0,0,0,0,0,0,0,0,743.1836144018587,928.9795180023233,0.745373709667092,162.9653199540594,836.081566202091,2.1087000139236807,3,265.1432399809703,electronics,cellphones,C
2017,10,2,11,32.83981944756856,928.9795180023233,2301.0,0,0,0,0,0,0,0,0,743.1836144018587,928.9795180023233,0.6525894758474351,142.67937190544092,836.081566202091,2.0159157801040237,3,253.4767572135518,electronics,cellphones,C
2017,10,3,12,31.879896370645486,928.6136643437868,2299.0,0,0,0,0,0,0,0,0,742.8909314750294,928.6136643437868,0.6200436415547301,134.92312664548314,835.7522979094081,1.9828330363247915,3,247.34109688267475,electronics,cellphones,C
2017,10,4,13,29.44013361968101,927.0012412981037,1726.0,0,0,0,0,0,0,0,0,741.600993038483,927.0012412981037,0.6281894703924991,134.96046571168074,834.3011171682933,1.988612549534082,3,242.88964936396582,electronics,cellphones,C
2017,10,5,14,29.485892548252444,923.2773717140352,1859.0,0,0,0,0,0,0,0,0,738.6218973712282,923.2773717140352,0.3338884306631371,71.4993249313149,830.9496345426318,1.6888465353254105,3,205.72452650745345,electronics,cellphones,C
2017,10,6,15,30.67989025205977,934.3771752070396,1945.0,0,0,0,0,0,0,0,0,747.5017401656318,934.3771752070396,0.05250149003450133,11.421978742847685,840.9394576863357,1.4237491401399893,3,176.71233734270473,electronics,cellphones,C
2017,10,0,16,28.983455048252438,925.1251552795036,4856.0,0,0,0,0,0,0,0,0,740.100124223603,925.1251552795036,3.082156654069422,659.6076794732386,943.6276583850937,2.8106226892227824,9,653.5006617665379,electronics,cellphones,C
2017,10,1,17,29.53209380315125,925.8643381976452,2745.0,0,0,0,0,0,0,0,0,740.6914705581162,925.8643381976452,1.5267690320729344,327.8048861630977,944.381624961598,1.2550181092638013,9,292.6981449825417,electronics,cellphones,C
2017,10,2,18,29.575831623664065,925.8643381976452,2621.0,0,0,0,0,0,0,0,0,740.6914705581162,925.8643381976452,1.1761466492584987,252.57596307102557,777.7260440860221,3.3501540317288345,0,223.1551173736231,electronics,cellphones,C
2017,10,3,19,30.42524526723207,933.9418530543536,2531.0,0,0,0,0,0,0,0,0,747.153482443483,933.9418530543536,0.8187777968660157,177.84968585797392,840.5476677489183,2.189386588815978,3,271.0886007306292,electronics,cellphones,C
2017,10,4,20,31.05163524305763,930.6300369322653,2337.0,0,0,0,0,0,0,0,0,743.0782869715546,930.6300369322653,0.20420532508978795,44.63997534126365,835.9630728429989,1.5934928151364147,3,197.49179657967994,electronics,cellphones,C
