year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost
2018,11,3,22,28.15854983794189,974.8742169090006,3300.0,1,0,0,0,0,0,0,0,759.9422980188156
2018,11,4,23,27.416371128954857,976.8348986427322,3369.0,1,0,0,0,0,0,0,0,757.0267513192857
2018,11,5,24,28.39736767956256,975.8732874579113,2411.0,1,0,0,0,0,0,0,0,757.335423125992
2018,11,6,25,28.27642907393868,975.8732874579113,2418.0,1,0,0,0,0,0,0,0,757.3354449839156
2018,11,0,26,27.847242111540933,971.1640873902952,2410.0,1,0,0,0,0,0,0,0,755.4039029826746
2018,11,1,27,28.41376344851274,971.3449490002049,2359.0,0,0,0,0,0,0,0,0,754.9003391714427
2018,11,2,28,28.317329382578677,970.3007900462338,2349.0,0,0,0,0,0,0,0,0,754.1426623354942
2018,11,3,29,28.593205154812413,968.9487564967257,2311.0,0,0,0,0,0,0,0,0,754.4128722153459
2018,11,4,30,28.12101074793499,965.1239430707973,2235.0,0,0,0,0,0,0,0,0,754.6029324408739
2018,12,5,1,28.500823643249227,963.7464206318472,7558.0,0,0,0,0,0,0,0,0,755.7741207111104
2018,12,6,2,28.333315436178516,963.7621833968242,7553.0,0,0,0,0,0,0,0,0,756.0624407111104
2018,12,0,3,27.577690138921383,961.5796793877215,7787.0,0,0,0,0,0,0,0,0,755.4360230956132
2018,12,1,4,28.063996685927094,964.2051004888167,2464.0,0,0,0,0,0,0,0,0,756.5799625350487
2018,12,2,5,27.50438108572998,963.4756025735452,2495.0,0,0,0,0,0,0,0,0,755.4410688128455
2018,12,3,6,27.817857435034718,970.574354144312,2454.0,0,0,0,0,0,0,0,0,756.6460695765095
2018,12,4,7,27.869371318569172,970.8952727344824,2378.0,0,0,0,0,0,0,0,0,758.2366469218558
2018,12,5,8,27.81500169666916,971.1082065866228,2383.0,0,0,0,0,0,0,0,0,758.2366469218558
2018,12,6,9,27.82701588715311,970.91365405744,2383.0,0,0,0,0,0,0,0,0,758.2366469218558
2018,12,0,10,27.97594000738772,985.1065672374344,3382.0,0,0,0,0,0,0,0,0,758.4545457545405
2018,12,1,11,27.673641620290933,983.1723463563013,3382.0,0,0,0,0,0,0,0,0,758.8141410852797
2018,12,2,12,27.92021939118688,978.5989869059033,1451.0,0,0,0,0,0,0,0,0,758.3745134336611
2018,12,3,13,27.67452440641593,981.7824699165652,1451.0,0,0,0,0,0,0,0,0,758.2603687120327
2018,12,4,14,27.784929357041275,981.9137768817227,1417.0,0,0,0,0,0,0,0,0,758.6743698804821
2018,12,5,15,27.817905733194166,981.5096605657784,1417.0,0,0,0,0,0,0,0,0,758.3929231231366
