product_sku,gtin,canonical_sku,qty_orders,gmv,curve
PRDNE98A4TOSW6FH,7010622804408,PRDJB56IDNBJ2P9Q,14,1262.05,A
PRD6976U9OMFF8RT,2960000202669,PRDLNRGGPEKJ8BQF,12,2851.34,A
PRDXA3FRR4BCEN5S,7895099558210,PRDY1AUVGBJUNJMC,10,4312.83,A
PRDQ0XSIK8G7AFPC,7434527366234,PRDRR0RAKI9W9N8B,24,2177.15,A
PRDQSOF74TGUIE5B,7909463083922,PRDC0XEQQ5F26RLQ,4,922.56,A
PRDH4Y9V1Y044OHH,695977684652,PRDLD0KAE0OPERGR,1,1537.51,A
PRDM8C9CF8TGQA36,7801010201028,PRDG749KFGC1KMAR,1,937.9,A
PRDH2CP3PK9M2X13,726424714827,PRDUBEFZKMU5W8I0,4,1591.84,A
PRDGDCF7U4PTBTBS,7982505485083,PRD92XKMUUK3UYVW,13,2464.06,A
PRDIQU6Z2OH4O2YK,4954628215727,PRDUEYMNVANPA48R,1,2926.31,A
PRD07HZZ7VGBAL73,7021455782160,PRDOBPELXPLK1EQ5,17,6557.68,A
PRD4R71QQ9V80GTB,751320657831,PRDP67UEKLSYCLNV,30,2478.22,A
PRDI9LL0MX6PQS14,1003001209488,PRDIZZ5XWHAO9R2Q,2,1937.83,A
PRDYZHOXVU7QGDFI,7898085821305,PRDGNF9K2LTC4DTU,7,2635.23,A
PRDQ9RHD0UUFZPEO,7898658022641,PRDZZC11EY1RX8RV,37,1593.9,A
PRD9KWTO9INOT6U8,7898501742221,PRDFHF462VUXAJQ5,12,1134.6,A
PRDQW7QEN0S96Y7B,7896637682985,PRD2WI33J48N78SZ,10,815.95,A
PRDUFU69OBX6M5XR,7891234006318,PRDE5ALKB8ONF40D,16,1279.74,A
PRD9GKX7E3JELA51,6926391989288,PRDX9K2X9VD45K2G,9,804.5,A
PRDHT4ONPUE29RH0,889787982163,PRDGWOL1H8MZZZIL,2,911.64,A
PRDT3WEEP4R5LTQV,7898455049957,PRDSPUQRFUG6Q2YZ,11,3412.01,A
PRD5VCU7Y1OGDUK3,7909389267826,PRD5VCU7Y1OGDUK3,23,2822.52,A
PRD8TXJKO6TFVM0U,7898506456345,PRO19CFDF023E46,14,894.32,A
PRDMTNP8VRNNBFXU,7908200100106,PRD89WXKKQ1Y8CIK,15,7681.0,A
PRD8V0INU7YVO1CT,7898256660320,PRD5A8D0U2UE80R8,12,806.15,A
PRDCXMOFQ8DROKX1,7898944692091,PRD1NOFN121VA8UA,6,756.6,A
PRDBDXVPXJSL3XK6,7909389649004,PRDBDXVPXJSL3XK6,11,819.99,A
PRDQ9R5VYPLGS7AZ,7432929467269,PRD1PG5OO4E330U1,23,2049.24,A
PRDTXQHAZBEBI5N8,7894203014031,PRD4HWAGMV2NB0TK,47,32041.78,A
PRDEFJZAUONVG6QL,7804643980292,PRDNDKR0WCN5XY96,2,1275.88,A
PRDGHMK2STLN8BKG,7898597065044,PRDBCWNRJWFNBRQK,26,884.07,A
PRDRAE3V6IIIGMEY,7890000159470,PRDE911IXHVOQWNI,8,1871.0,A
PRDQ59S404D1TMD3,8433982003417,PRD8DAKA64LVGAZ6,12,1714.37,A
PRDWZSG773B9R6WK,7908157800227,PRD8Y0Y5NOTFO839,4,1171.18,A
PRDBLPV4M9IY2HTG,7890204219109,PRD3MZX6WZF3OCKL,1,1774.1,A
PRDUM3KX6TMHKVHG,7909463591816,PRDBJ1X3CEKXFQC8,6,868.59,A
PRDI21O1CX7TXFW0,2960000034048,PRDIWPBY6RY014YT,2,798.95,A
PRDK5Q03TJWZC37G,7908287100297,PRDJZYZ2KOMA67A7,4,1443.28,A
PRD40P4E6BJ1IU59,7909389408823,PRDKD632U4E7F1MH,11,1476.39,A
PRDQJUCGHVR3C1HC,7891529043677,PRDQJUCGHVR3C1HC,9,1899.24,A
PRDVV7GB7J9DSJHK,793574682894,PRDVFWEBEJ8EYZNP,4,1133.2,A
PRDX4A4LKVROB2SI,1234567896618,PRD8N4ATM4HVNFHO,13,1564.86,A
PRD2CMLP2AVCGXNG,7897313122214,PRDCSO17SDDHMA38,3,2324.21,A
PRD17TJV7IMZ4KUR,7896513317048,PRO5B4BC179B514,1,1204.7,A
PRDHKH7PVDZ0539F,7890002200866,PRDA57LLJQ34Q7DR,6,760.58,A
PRDJXBPULU8WBP7H,7898509996428,PRD7BICXARHBAX3G,19,1643.17,A
PRDH00YLTN9AN99U,7898943209412,PRDH7QW3HZPPIAEQ,19,1169.98,A
PRD1U5V56A471E4L,5126891172925,PRDVYF4PXHVGTMI3,12,1021.17,A
PRDKND8KLGEEOK4J,4064222611723,PRD5983WG4XZBJXX,55,1966.25,A
PRDI9S8XM6TZO7V9,7895660005266,PRD8HFYBA9OV4QOI,2,823.84,A
PRDWRHUYLLMFX2U0,6952202281890,PRDLT4DT7XMO80YB,29,3096.55,A
PRDDN14XHFYBGZ6U,7893590154047,PRDCAOMKVVB8PK3C,7,825.28,A
PRDZOAXYWUUVRH5X,7898599160358,PRDHD6LJAUUVFKXF,32,12422.87,A
PRD0VD0HTXG3VOJA,7899089406116,PRD3OZ62O0WAH74V,6,1915.17,A
PRDBCZBRCU40K7BK,7899121843114,PROE385C1898DA1,96,22031.32,A
PRDGSPCZPZFLKP1U,7054892244458,PRDRYW4MTOD9D4JS,8,1494.59,A
PRD9YGL4F6H5KKR7,7896311765614,PRDKXSJMJW74IIWP,16,1442.86,A
PRDS0QAWRRY7H1BS,7898077620039,PRDMR7TDQH3UNDKF,3,2775.32,A
PRDPI27JG5GHGVLO,8713508752518,PRDF3JY22CZPL5E4,1,2210.07,A
PRDZS4FC24AJTY9S,7895099712445,PRD6H26LST69V4EG,16,871.4,A
PRDJ3MUXN2I6C9QT,7898635780205,PRD1768F4W9LFLJ0,21,1626.65,A
PRDWTD1P4U1BF782,7894200172451,PRDKYIMV9F40PBHZ,2,2413.06,A
PRD0J8ZBW0KPYKGT,2960000409501,PRDZRDX9OM1K6J73,22,1987.23,A
PRDZYZV4YIBEVTAO,2960000069958,PRDIOD42NOISKU6W,5,1305.23,A
PRDGKNINWEZSUWWZ,7898878214826,PRDXV83VNJMA44RB,12,6334.59,A
PRDC3SF5DIL9F2MM,7892597348879,PIO0T252TVQUW1H6,7,5406.1,A
PRDT4DQ0RJPE7H49,8713184137036,PRDKESI9NVYO4X1J,6,1108.03,A
PRDO93XV91V7OUD6,178985123004,PRD9UP6CUBK8PLIO,10,1061.04,A
PRDOBG1A2JVPZ2JM,7898625660203,PRDOBG1A2JVPZ2JM,10,1336.76,A
PRDMPTOREYPWM1RC,7894903993797,PRD0W57KOLSJUBU3,5,1507.22,A
PRDGKFNUPUO0WBFA,6260361044189,PRDZ1B05NKXRW2TM,13,784.27,A
PRDUWW047CRWEBJP,7899058004763,WEG9PZ7MLI674WEK,2,1306.89,A
PRDJE0UCCDKJQ8CH,2960000347704,PRDJWNNXIACMEBVJ,2,1567.76,A
PRDHYJYLTX3FTISV,7908088313452,PRDGLE43KH81BZX8,7,814.32,A
PRDR4TA5E85YANCS,4711182469108,PRD9A49V4QC576LK,18,4788.06,A
PRD4NHCXS5TC1LRZ,8430622544781,PRDA0UELACT7CEK1,1,1321.61,A
PRDF89TXSX96GHZF,7898921107990,PRDYXKLE9X8N29TW,20,11426.23,A
PRDXH8RSIX8DI7DP,7899561501483,PRDWXMV0D3D15R87,8,768.71,A
PRDQ59S404D1TMD3,8433982003417,WDFGINUSOBXGJB75,12,1714.37,A
PRDCSGLOQULEJUFT,8800550956404,PRDYX6P952MVNDKM,135,6160.2,A
PRDM72DJQ6JA5X1S,7895616225229,PRD2H7O2PRWI3673,10,1677.56,A
PRDTSEK88EFIWNXO,7896018311909,PRD2F3PYYMC5KNE3,30,2499.21,A
PRDV2MTRUADUQG29,751320460813,PRD14CTQBA73WI7Y,8,975.57,A
PRD1HUWS8YL2OH79,7898152184364,PRO1D2C35140FD2,2,1377.05,A
PRD5NZ1NNZA7G7T7,2960000010882,PRDI57UNEPXB2PQU,27,3576.98,A
PRDC8IYQUQP2GHKM,7431071933059,PRDZ3X4DXMBJI4YH,1,821.12,A
PRD4ZU8AMTULO709,7897181941436,PRDATOSXA9LSXI7Q,19,2086.27,A
PRDQYIG0JW5UMQXR,7908022500610,PRDKVGL33L4FDSAI,9,779.55,A
PRDMTTROMHT0XIIC,1003001113372,PRD73ZXHJL7T7SH6,1,5343.25,A
PRDU5V4A5RGMG9YG,7897181948510,PRDBDNH3FRVY2H5V,7,961.97,A
PRD599Z3C4RSV3EV,20714170486,PRD6URGJZ19COUME,4,1421.77,A
PRDV0K09WAJN7JW3,7909389484605,PRDV0K09WAJN7JW3,26,2422.18,A
PRD7U3Z2M8KG2NYJ,7890001133325,PRDDAT20GLTQ4Q4Q,2,1454.97,A
PRDUVQKI90NTNZ59,7438648432236,PRDTCAKXIQMSOJF7,3,1382.38,A
PRDVCSZ7Q934C3NW,6918040449489,PRD561A796ULVA4J,11,879.79,A
PRDJ74IXVB87504M,6941057416779,PRDXAGX5UPPJHKKJ,9,1407.19,A
PRDV78EDPRANUKFI,9788516100155,PRDOO1ZWJFOC2JRF,1,"214,76",B
PRD2QE7OIC8R2JDX,4014519151524,PRDPEL1OUZ39NOJD,1,"268,57",B
PRDRCLS3E0D6V2B4,7898878147063,PRDHWUS5NYR6MSKI,2,"311,93",B
PRDBHD9SZPKKM0HZ,7899621106085,PRDOHSBXVWBADM20,2,"224,21",B
PRD3Z6FW4BOQE9S6,85000010587,PRD76J9277008JV2,11,"705,98",B
PRDT2IYQH0ZWYO41,7010622601755,PRDPGI62V3P7DLPL,2,"200,83",B
