ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-20,2017,7,3,20,A,197.87812500000004,197.87812500000004,18.63043780933307,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,C,899.2230769230767,899.2230769230767,24.12871193415638,899.2230769230767,3.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,A,197.87812500000004,197.87812500000004,18.63043780933307,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,C,899.2230769230767,899.2230769230767,24.12871193415638,899.2230769230767,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,A,197.87812500000004,197.87812500000004,18.63043780933307,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,C,899.2230769230767,899.2230769230767,24.12871193415638,899.2230769230767,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,A,197.87812500000004,197.87812500000004,18.63043780933307,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,C,899.2230769230767,899.2230769230767,24.12871193415638,899.2230769230767,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,A,201.6868421052632,201.6868421052632,18.702104475999736,201.6868421052632,158.0,0,0,0,0,0,0,0,0,1.0
2017-07-24,2017,7,0,24,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,C,915.7673333333332,915.7673333333332,22.346533950617285,915.7673333333332,9.0,0,0,0,0,0,0,0,0,0.0
2017-07-24,2017,7,0,24,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,A,201.6868421052632,201.6868421052632,18.702104475999736,201.6868421052632,159.0,0,0,0,0,0,0,0,0,4.0
2017-07-25,2017,7,1,25,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,C,915.7673333333332,915.7673333333332,22.346533950617285,915.7673333333332,9.0,0,0,0,0,0,0,0,0,0.0
2017-07-25,2017,7,1,25,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,A,201.6868421052632,201.6868421052632,18.07151004088504,201.6868421052632,131.0,0,0,0,0,0,0,0,0,1.0
2017-07-26,2017,7,2,26,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,C,907.5012499999999,907.5012499999999,22.346533950617285,907.5012499999999,10.0,0,0,0,0,0,0,0,0,0.0
2017-07-26,2017,7,2,26,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-27,2017,7,3,27,A,199.25250000000003,199.25250000000003,18.663142031472805,199.25250000000003,132.0,0,0,0,0,0,0,0,0,2.0
2017-07-27,2017,7,3,27,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-27,2017,7,3,27,C,907.5012499999999,907.5012499999999,22.346533950617285,907.5012499999999,10.0,0,0,0,0,0,0,0,0,0.0
2017-07-27,2017,7,3,27,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-28,2017,7,4,28,A,199.37375000000003,199.25250000000003,18.656659902490674,199.25250000000003,151.0,0,0,0,0,0,0,0,0,5.0
2017-07-28,2017,7,4,28,B,505.5435294117646,505.5435294117646,27.31962962962963,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-28,2017,7,4,28,C,901.1188235294115,901.1188235294115,26.9130938271605,901.1188235294115,12.0,0,0,0,0,0,0,0,0,3.0
2017-07-28,2017,7,4,28,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-29,2017,7,5,29,A,199.89395833333333,199.89395833333333,17.857903049741275,199.89395833333333,1665.0,0,0,0,0,0,0,0,0,2.0
2017-07-29,2017,7,5,29,B,499.6910526315789,499.6910526315789,26.477272727272727,499.6910526315789,131.0,0,0,0,0,0,0,0,0,1.0
2017-07-29,2017,7,5,29,C,901.1188235294115,901.1188235294115,26.76482716049383,901.1188235294115,12.0,0,0,0,0,0,0,0,0,0.0
2017-07-29,2017,7,5,29,D,3397.4850000000006,3397.4850000000006,29.856000000000005,3397.4850000000006,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-30,2017,7,6,30,A,197.1226785714285,197.1226785714285,18.52862526013934,197.1226785714285,5155.0,0,0,0,0,0,0,0,0,5.0
