ds,year,month,dayofweek,day,price_category,offer,olist_price,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,y
2017-07-15,2017,7,5,15,C,907.320909090909,907.320909090909,31.0,907.320909090909,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-15,2017,7,5,15,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,A,197.14333333333335,197.14333333333335,20.0,197.14333333333335,79.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,C,907.320909090909,907.320909090909,31.0,907.320909090909,2.0,0,0,0,0,0,0,0,0,0.0
2017-07-16,2017,7,6,16,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,A,197.878125,197.878125,20.0,197.878125,79.0,0,0,0,0,0,0,0,0,1.0
2017-07-17,2017,7,0,17,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,C,894.1274999999999,894.1274999999999,31.0,894.1274999999999,4.0,0,0,0,0,0,0,0,0,0.0
2017-07-17,2017,7,0,17,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,A,197.878125,197.878125,20.0,197.878125,87.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,103.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,C,894.1274999999999,894.1274999999999,31.0,894.1274999999999,3.0,0,0,0,0,0,0,0,0,0.0
2017-07-18,2017,7,1,18,D,3547.3340000000003,3547.3340000000003,39.0,3547.3340000000003,18.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,A,197.878125,197.878125,20.0,197.878125,87.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,1.0
2017-07-19,2017,7,2,19,C,899.2230769230769,899.2230769230769,31.0,899.2230769230769,4.0,0,0,0,0,0,0,0,0,0.0
2017-07-19,2017,7,2,19,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,19.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,A,197.87812500000004,197.87812500000004,20.0,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,C,899.2230769230769,899.2230769230769,31.0,899.2230769230769,3.0,0,0,0,0,0,0,0,0,0.0
2017-07-20,2017,7,3,20,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,A,197.87812500000004,197.87812500000004,20.0,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,C,899.2230769230769,899.2230769230769,31.0,899.2230769230769,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-21,2017,7,4,21,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,A,197.87812500000004,197.87812500000004,20.0,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,C,899.2230769230769,899.2230769230769,31.0,899.2230769230769,7.0,0,0,0,0,0,0,0,0,0.0
2017-07-22,2017,7,5,22,D,3397.4850000000006,3397.4850000000006,39.0,3397.4850000000006,23.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,A,197.87812500000004,197.87812500000004,20.0,197.87812500000004,157.0,0,0,0,0,0,0,0,0,0.0
2017-07-23,2017,7,6,23,B,505.5435294117646,505.5435294117646,24.0,505.5435294117646,102.0,0,0,0,0,0,0,0,0,0.0
