year,month,dayofweek,day,freight_value,competition_price,stock,black_friday,carnival,christmas,friday,mothers_day,new_year,others,valentines,base_cost,baseline_prices,baseline_orders,baseline_rewards,rl_prices,rl_orders,rl_actions,rl_rewards,group,type,price_range
2019,8,1,27,30.11379963426109,985.7881835289363,2857.0,0,0,0,0,0,0,0,0,762.0750317844976,952.5206094891721,5.771411029425053,1272.9388230170553,971.6456655252343,5.490740772879235,9,1316.0450909565573,electronics,cellphones,C
2019,8,2,28,30.16758485656102,969.9750524876623,2828.0,0,0,0,0,0,0,0,0,760.2271182435147,950.2679783457004,4.913505004002673,1081.995296228449,969.2895757604812,4.634353057140743,9,1108.6764782336663,electronics,cellphones,C
2019,8,3,29,30.101235932186533,970.6637972769572,2820.0,0,0,0,0,0,0,0,0,760.8067936033724,951.086433301424,4.668706679357001,1028.8936660574375,970.0286618442998,4.39071951243568,9,1050.8006232695684,electronics,cellphones,C
2019,8,4,30,30.157691348423942,970.7695477574753,2752.0,0,0,0,0,0,0,0,0,764.5355196972278,955.6723687018733,4.28219006996278,947.6252832368918,898.3292356442427,5.123730708383846,5,840.0428602423871,electronics,cellphones,C
2019,8,5,31,30.164684157235946,972.9414037456444,2658.0,0,0,0,0,0,0,0,0,764.2272860099247,955.2852047104312,4.044238510920877,894.6769699634369,878.8613789114133,5.1657983512045575,4,748.0012837863957,electronics,cellphones,C
2019,9,6,1,30.810523018443572,971.3481008487987,1109.0,0,0,0,0,0,0,0,0,761.946068320803,952.4198971436416,4.8921881800165465,1082.5646905005433,971.4812371090237,4.612452990320435,9,1108.5832048842822,electronics,cellphones,C
2019,9,0,2,30.41795368230916,965.476340782939,1157.0,0,0,0,0,0,0,0,0,759.8613249409075,949.824006088492,6.0413077813836935,1331.3872440641148,968.823189299657,5.762484774748373,9,1379.4225568436366,electronics,cellphones,C
2019,9,1,3,30.190911297045847,967.112806188925,2657.0,0,0,0,0,0,0,0,0,764.4264781364124,954.9632808952713,6.6379878597517745,1465.1878862138572,974.6437596239257,6.349166483056251,9,1526.3916398798492,electronics,cellphones,C
2019,9,2,4,29.036419613602884,979.6899430604974,3017.0,0,0,0,0,0,0,0,0,767.5057801204715,959.4815001887184,7.2656497575721914,1605.7967990999434,978.5698696536011,6.985517895754128,9,1677.2264034241778,electronics,cellphones,C
2019,9,3,5,29.02652358075043,957.1133045112767,1812.0,0,0,0,0,0,0,0,0,770.1243208898858,962.6728171524576,5.44628140711211,1206.7599108531829,981.9085091346043,5.163987509866274,9,1243.5435081087285,electronics,cellphones,C
2019,9,4,6,28.8789469480604,960.5137886792439,1273.0,0,0,0,0,0,0,0,0,770.2036000882126,962.762877468756,5.042765396506638,1116.6610151081572,982.0095901124711,4.760309765255897,9,1145.7348558193296,electronics,cellphones,C
2019,9,5,7,28.913563101028434,961.1775371069168,1284.0,0,0,0,0,0,0,0,0,770.2028554341246,962.7489152046053,4.793591577495135,1061.5869829521155,904.9883551350964,5.641258176869542,5,923.4686765776648,electronics,cellphones,C
2019,9,6,8,28.72516759646208,956.8155914786952,1284.0,0,0,0,0,0,0,0,0,770.1972807896353,962.7298406771783,4.408600871339331,975.437010176545,904.9818049278216,5.256083669728014,5,859.4206205687465,electronics,cellphones,C
2019,9,0,9,28.86132728889536,941.2695496855333,1308.0,0,0,0,0,0,0,0,0,770.7568864853373,963.4591426978668,4.998209805632996,1107.421275628007,886.3704194581378,6.129527365575086,4,885.5626096117014,electronics,cellphones,C
